firstname;lastname;address;PLZ;city;birthdate;email;gamertag;join_date;hardware;game;playtime;wins;losses;ingamelevel
Bertha;Dickinson;Crooks Pass 85;6157;North Rogermouth;1993-01-25;ettie_sawayn19@yahoo.com;Lucas12;2015-01-07;Xbox Series X;World of Warships;748;727;624;68
Berenice;Windler;Jewel Divide 27;4183;Baileyfort;2001-06-15;jordyn.orn@yahoo.com;Euna_Weissnat81;2019-12-18;Nintendo Switch;Overwatch;824;293;262;93
Isobel;Schulist-Lowe;Heaney Trail 35;7579;North Electaboro;1967-10-10;hertha93@yahoo.com;Carolyn.Kreiger;2015-04-29;Xbox Series X;Dota 2;857;726;59;47
Brionna;Schultz;Cynthia Drive 60;7122;Randalboro;1977-04-30;faustino_kessler95@gmail.com;Jody.Ondricka46;2021-02-23;Xbox One;Overwatch;445;428;608;59
Lew;Hills;Beulah Shore 19;7370;New Emeryfield;1956-07-08;sheridan26@gmail.com;Aryanna_Cruickshank;2016-03-02;Playstation 4;Hearthstone;709;109;839;63
Maxwell;Mraz;Parisian Port 56;1653;Kirlinhaven;1994-06-27;andy13@hotmail.com;Colby49;2014-10-22;Xbox One;Minecraft;498;984;1000;82
Urban;Barrows;Joaquin Vista 38;7823;North Cortney;2007-05-13;berniece.bogan@hotmail.com;Luna.Collins;2013-08-30;Playstation 5;Heroes of the Storm;378;43;958;75
Laverna;Lockman;Kayley Avenue 10;8396;East Baileecester;1979-03-17;shemar_barton76@yahoo.com;Collin_Stehr;2016-04-12;Xbox Series X;FIFA 20;557;971;670;31
Demarcus;Effertz;Alycia Route 25;9546;Konopelskifurt;1984-05-25;tyrique.hane@yahoo.com;Cortez.Cartwright;2014-02-21;PC;Fortnite;508;973;630;57
Isai;Stehr;Herzog Canyon 91;2119;Spencerburgh;1998-04-30;bryce_will86@hotmail.com;Amani_Mante-Jacobi73;2014-12-26;PC;Starcraft II;980;806;438;10
Natalia;Torphy;Kamille Skyway 9;7274;Fort Estefania;1967-09-03;luz_hegmann24@hotmail.com;Paxton_Windler86;2015-02-14;Xbox One;Counter Strike: Global Offensive;732;56;274;83
Terry;King;Vandervort Knolls 64;3426;Lake Mossie;1968-03-05;daren_hane@hotmail.com;Bette.Rogahn-Ryan;2021-05-30;Xbox Series X;Overwatch;716;698;125;63
Paula;Schuster;Smith Terrace 46;7552;South Clarissachester;2002-11-23;kassandra_gutkowski65@yahoo.com;Zachariah67;2023-06-14;Playstation 5;Diablo III;334;537;819;66
Adolph;Gislason;Klocko Place 6;5549;Coral Gables;1970-09-02;deshawn10@hotmail.com;Vella_Fisher;2017-10-08;Playstation 5;Apex Legends;833;533;315;75
Herta;Romaguera;Hartmann Grove 11;7751;West Declanstead;1966-07-07;laney.schowalter76@hotmail.com;Cordia_Baumbach;2013-12-15;Xbox Series X;Smite;153;37;416;44
Mabel;Vandervort;Miller Loop 76;3580;Marcellefurt;2007-06-15;sydnee60@hotmail.com;Tomasa.Lebsack;2019-07-20;Playstation 5;PlayerUnknown's Battlegrounds;430;622;432;21
Talia;Schmidt;Hartmann Loop 29;7927;Ziemannview;1957-11-14;lilliana_hammes@yahoo.com;Leda.Bartoletti80;2015-02-10;Playstation 4;League of Legends;244;970;413;51
Kitty;Morissette;Sarina Course 4;8147;Port Elton;1971-03-10;logan_hodkiewicz@gmail.com;Clara.Abbott1;2017-02-23;Playstation 5;Counter Strike: Global Offensive;718;876;313;89
Tabitha;Hirthe;Kulas Greens 32;9216;Port Eugeniaworth;1975-04-05;kaitlyn_padberg@yahoo.com;Lamar51;2023-05-26;PC;Heroes of the Storm;976;65;892;66
Edythe;D'Amore;Cordia Ranch 12;3812;Goodwinfort;1976-06-24;claudie53@hotmail.com;Reid_Kautzer73;2017-10-26;PC;Madden NFL 20;364;240;48;60
Rosemarie;Greenholt;Toney Spurs 69;8647;Farrellfield;1983-03-24;lillian.boyle@gmail.com;Gaston.Graham79;2019-10-16;Nintendo Switch;Path of Exile;112;555;605;66
Marty;Hessel;Kiehn Rapid 42;7509;New Jany;1979-09-21;shea_larson29@hotmail.com;Kristoffer59;2018-04-27;Xbox Series X;World of Tanks;940;560;598;72
Immanuel;Hauck;Vaughn Rest 45;2448;Cummeratahaven;1993-05-11;chester.quitzon68@gmail.com;Molly.Ruecker66;2019-04-20;Playstation 5;Valorant;954;555;924;35
Josie;Mante;Borer Shore 46;4467;Port Lenna;1976-05-17;antwan.kihn42@hotmail.com;Reilly34;2022-08-09;PC;Rainbow Six Siege;403;527;959;35
Brooklyn;Johnson;Johnnie Trail 30;3035;Mission;1970-10-17;nathaniel.gutmann@yahoo.com;Alessia_Adams14;2018-07-09;PC;Dota 2;348;335;65;76
Jovany;Wiza;Bogisich Parks 7;5764;Fort Kenyonview;1965-05-21;jose_feeney84@gmail.com;Van.Stokes;2020-09-10;Xbox Series X;Starcraft II;953;389;901;20
Dimitri;Ward;Runolfsson Glens 32;1514;Port Orange;1952-09-14;macey47@hotmail.com;Megane.Simonis19;2015-12-08;Nintendo Switch;World of Tanks;948;844;502;26
Tracey;Bernier;Hillard Keys 75;3064;Mishawaka;1962-09-23;enrico.effertz@gmail.com;Celestino.Weissnat;2013-08-26;Playstation 4;Madden NFL 20;481;812;905;60
Amir;Armstrong;Watsica Crossing 77;3101;Tonytown;1975-08-10;nicole30@yahoo.com;Horace.Koch68;2018-06-05;Xbox Series X;Call of Duty: Warzone;667;86;403;26
Marta;McLaughlin;Swift Estate 94;9551;North Ladariusborough;1990-11-18;mark.pagac@hotmail.com;Camden.Cartwright;2019-03-14;PC;NBA 2K20;628;474;691;15
Jeff;Mitchell;Marilyne Dale 65;9883;East Noreneborough;1960-08-21;violette.ward@gmail.com;Sally63;2014-04-29;PC;Madden NFL 20;510;385;296;33
Retha;Wuckert;Adalberto River 70;7500;Lake Bettyeton;1977-11-30;elmore90@hotmail.com;Joan3;2019-04-18;Playstation 5;Smite;107;131;417;3
Samanta;Daugherty;Torp Meadows 22;5916;Greenfeldercester;1985-05-15;earlene.streich@gmail.com;Elinore3;2020-10-16;Xbox Series X;Minecraft;347;715;531;9
Amanda;Bosco;Ted Flats 5;9006;East Albertbury;2004-04-19;savannah52@gmail.com;Ransom_Rutherford;2023-01-25;Playstation 4;Fortnite;840;492;303;95
Santiago;Prosacco;Brayan Bypass 74;5441;Palmdale;1965-08-21;frederique_orn47@yahoo.com;Krystel_Aufderhar1;2016-12-17;Xbox Series X;Path of Exile;202;646;823;3
Noemie;Harber;Khalil Center 6;1542;Robertsborough;1973-08-03;taya.ruecker@hotmail.com;Sherman_Strosin-Rolfson66;2019-12-11;Nintendo Switch;World of Warcraft;898;859;665;82
Delfina;Stokes-Wolff;Osinski Trail 25;1134;Chapel Hill;2000-08-19;roxane_cummings89@yahoo.com;Macy.Tillman;2019-04-05;Playstation 4;PlayerUnknown's Battlegrounds;344;468;284;16
Gloria;Bernier;Amie Haven 15;1777;Atascocita;2006-05-20;briana.hermann12@hotmail.com;Jailyn.Stiedemann27;2022-08-15;Xbox One;Path of Exile;558;201;199;37
Nova;Gislason;Giovani Corners 55;2770;Nitzscheland;1989-06-17;clemmie_daniel@yahoo.com;Bobbie.Hartmann;2021-07-20;Playstation 5;League of Legends;167;34;992;1
Carey;Moen;Melisa Rue 4;3652;St. Louis Park;1955-12-20;leopoldo52@hotmail.com;Gilbert.Kuhlman;2016-02-20;PC;Starcraft II;565;469;742;78
Vickie;Koss;Connelly Divide 24;8857;West Johnsonton;1970-10-01;coty.cronin@yahoo.com;Blaise8;2015-09-29;Playstation 4;Call of Duty: Warzone;762;89;775;3
Nico;Beer;Pacocha Wells 70;3118;Holdenborough;1953-03-02;robb.wilkinson@yahoo.com;Estell.Hickle92;2018-01-13;Xbox Series X;Dota 2;580;469;72;25
Lacy;Predovic;Elna Summit 14;3627;East Lina;1957-08-07;brittany.lynch@yahoo.com;Helmer.Marvin;2021-10-01;Playstation 5;Rocket League;354;541;935;92
Lenore;Hayes;Benjamin Ford 75;3430;Greenholtside;1990-05-14;minerva57@gmail.com;Nathanial76;2018-02-13;Playstation 4;World of Warcraft;898;247;832;2
Lafayette;Kerluke;Norwood River 54;9605;New German;1982-07-19;barney_balistreri27@gmail.com;Kendra.Ratke;2021-02-08;Playstation 4;Overwatch;597;366;549;11
Mylene;Becker;Juwan Crossroad 36;5920;East Libbyborough;1951-03-14;keenan_wilkinson9@gmail.com;Terrill.Mosciski-Marvin91;2017-11-17;PC;NBA 2K20;791;875;84;31
Jayne;Langworth;Olaf Ridges 67;5733;Palm Bay;1957-10-16;elmira7@hotmail.com;Gaetano_Hartmann11;2022-03-28;Xbox Series X;Valorant;655;506;27;56
Shaun;Hayes;Rashawn Harbors 7;5167;Fort Skylar;1979-06-06;margarett_trantow@hotmail.com;Camren49;2018-12-17;Xbox One;Hearthstone;370;474;958;52
Tracy;Towne;Zulauf Light 59;3837;West Toniview;1983-09-22;annetta.lockman@hotmail.com;Bertram80;2019-04-04;PC;Smite;378;711;135;62
Larry;Hermiston;Luettgen Estate 35;6257;East Lola;2001-08-09;eula76@hotmail.com;Michaela.Cremin15;2014-07-28;PC;Hearthstone;158;239;759;43
Antoinette;Mills;Legros Manor 78;5799;South Leslie;1952-05-31;veronica36@yahoo.com;Isom_Jones;2017-03-07;Nintendo Switch;Teamfight Tactics;372;472;64;87
Cassie;Kessler;Romaguera Club 10;5794;South Kevinmouth;1996-10-27;ross90@hotmail.com;Norbert_Nader;2015-05-23;Playstation 4;Destiny 2;661;610;449;94
Houston;Wilderman;Fredy Lights 70;2941;New Alainaworth;1967-01-31;rhianna48@hotmail.com;Rico.Hilll98;2022-11-27;Playstation 4;Overwatch;923;705;66;48
Ivory;Gorczany;Sawayn Circles 1;7890;Adeliaberg;1981-01-29;reta29@yahoo.com;Kamille_Jacobs87;2015-10-11;Playstation 4;Overwatch;272;561;390;75
Jayce;Fadel;Halle Mall 78;6314;Memphis;1978-02-06;albertha_haley58@gmail.com;Violette.Osinski69;2017-08-07;Playstation 5;World of Warships;795;631;113;23
Rasheed;Metz;Waters Hill 41;4314;Bahringerborough;1978-05-19;sterling74@yahoo.com;Olin_Weber;2020-10-05;Playstation 5;Grand Theft Auto V;545;562;414;65
Elouise;Borer;Schuster Motorway 34;7750;Port Colinbury;1951-06-17;torey56@yahoo.com;Earlene_Pagac7;2021-10-26;Playstation 4;World of Warcraft;443;242;515;69
Bridie;Kautzer;Bergstrom Branch 90;8759;Lake Brian;1988-04-29;mabel_keeling@hotmail.com;Filomena.Becker69;2018-06-15;Playstation 4;Teamfight Tactics;834;709;103;43
Leonora;Hodkiewicz;Glover Hollow 30;7274;South Garrick;1986-09-06;chandler.hermann@hotmail.com;Carlee.Bernhard;2021-08-07;Playstation 4;Destiny 2;117;583;463;81
Quinten;Cruickshank;Manuel Mission 40;4570;Marquardtport;1990-09-14;patrick_schiller-wilderman@hotmail.com;Terrance34;2019-02-10;Playstation 4;World of Warships;193;458;105;89
Roxane;Kihn;Lorena Forest 6;7522;Laurinecester;1989-04-14;ally17@yahoo.com;Vernice86;2021-01-01;Nintendo Switch;World of Tanks;921;564;98;89
Abraham;Block;Buckridge Corner 59;1989;Abbigailborough;1966-11-12;marty.luettgen74@yahoo.com;Sydni.Murray80;2014-07-14;PC;Destiny 2;731;306;938;74
Holly;Runte;Schowalter Well 87;6876;West Brendonworth;1990-12-31;christ17@gmail.com;Rocio.Schulist13;2016-12-03;Nintendo Switch;World of Warcraft;605;55;107;80
Carley;Rolfson;Morissette Centers 75;5128;Quigleyhaven;1994-02-13;orie.okuneva@gmail.com;Rosario95;2023-01-18;Playstation 4;PlayerUnknown's Battlegrounds;391;669;181;35
Rod;Pfeffer;Loyce Ports 89;4432;Portland;1985-04-05;fausto_sawayn-johnston@hotmail.com;Howard_Bechtelar38;2020-10-19;Nintendo Switch;Rocket League;320;564;963;42
Fritz;Bogan;McLaughlin Curve 56;2143;Bridgetberg;1993-10-09;rita.schoen@gmail.com;Alvah.Jacobs50;2022-01-08;Nintendo Switch;Rainbow Six Siege;205;821;970;34
Isaias;Wehner;Hammes Estate 75;7966;West Kaelahaven;1965-08-01;lina20@gmail.com;Haven.Wyman55;2017-08-22;Playstation 4;League of Legends;451;801;1;71
Leonel;Lesch;Viva Pike 38;7009;Moreno Valley;1986-01-09;wilford.spinka87@gmail.com;Maurice.Marks24;2018-09-17;PC;Madden NFL 20;525;156;953;66
Deven;Altenwerth;Alexane Street 57;2225;East Celine;1964-09-03;vidal74@yahoo.com;Marion_Buckridge;2019-11-18;PC;World of Warships;126;751;859;7
Deborah;Crist;Maye Parkways 54;3442;North Shyanneside;1999-11-19;quentin14@hotmail.com;Wade_Kiehn;2020-09-06;Xbox One;League of Legends;889;694;706;97
Hollis;DuBuque;Hirthe Lakes 64;4740;North Carriefort;1972-09-22;yvette_kuhic@hotmail.com;Verna.Robel84;2015-04-13;Xbox Series X;World of Warships;474;821;774;5
Judah;Moore;Jerde Village 31;8754;Cassinton;1967-05-14;keara_torphy98@gmail.com;Brandon_Rempel87;2017-07-08;Playstation 5;Smite;496;745;108;34
Wilbert;Fay;Homenick Unions 47;2039;Rio Rancho;1960-06-08;mortimer79@hotmail.com;Florine81;2018-06-23;PC;Heroes of the Storm;623;598;740;73
Linnea;Considine;Jones Underpass 53;3850;Euclid;1986-05-01;marcellus.ledner-dickinson94@hotmail.com;Arlo_Kshlerin;2015-06-01;Playstation 5;Heroes of the Storm;512;551;788;12
Leon;Zboncak;Mann Circle 32;1311;Port Rossfurt;1973-02-07;dorothea.skiles11@hotmail.com;Bennett_Watsica50;2016-07-06;PC;Valorant;221;42;52;25
Alison;Schaden;Jamey Cliff 56;8623;Victorland;1949-02-11;fredy.beatty28@yahoo.com;Naomie35;2013-10-23;Nintendo Switch;Path of Exile;497;295;299;34
Gayle;Considine;Ziemann Manor 3;4805;Schowalterport;1975-01-02;lonny_schuppe81@gmail.com;Daron_Renner;2014-10-01;Xbox One;Path of Exile;326;556;811;41
Wilhelm;Wehner;Monahan Forges 24;3052;West Virgie;1973-03-16;eleazar52@yahoo.com;Deborah51;2021-06-05;Xbox Series X;Teamfight Tactics;371;37;351;15
Lazaro;Littel;Dietrich Light 75;9041;East Providence;1987-10-15;minerva.stamm@yahoo.com;Nadia_Kohler;2017-11-11;Playstation 5;Rocket League;324;617;414;28
Antonietta;Casper;Hagenes Bypass 77;2986;Vanessahaven;2003-09-21;joan_kerluke1@hotmail.com;Wilber_Kuhn;2019-06-15;Xbox Series X;Rainbow Six Siege;356;995;64;67
Kristian;Jones;Alyce Turnpike 46;2759;Port Lindseyport;1976-06-07;samson.heller@yahoo.com;Eliza_Cummerata;2022-06-19;PC;League of Legends;341;519;230;93
Cicero;Goyette;Cortez Plain 60;1502;Lake Ellsworthcester;1961-10-23;sister19@gmail.com;Alayna.Wisozk;2014-07-02;PC;Fortnite;626;248;168;24
Petra;Lindgren;Buckridge Route 14;2709;Jessytown;1984-07-23;christiana.bergstrom@hotmail.com;Camden_Wolff;2020-09-14;Xbox Series X;Call of Duty: Warzone;730;795;144;34
Savion;Mitchell;Bulah Extensions 37;3003;Reichelside;1954-08-27;quentin_gleichner88@gmail.com;Florence44;2016-04-11;Nintendo Switch;Rocket League;622;852;94;97
Bryon;Kuhlman;Hoppe Meadow 9;9688;Lake Tyreestad;1950-08-23;ressie.cole73@gmail.com;Giovani.Bernier;2021-05-06;Playstation 5;PlayerUnknown's Battlegrounds;502;148;11;6
Frida;Koss;Bins Spurs 59;4060;Valentinefield;2003-03-25;kiana81@gmail.com;Cordia80;2020-10-31;PC;Apex Legends;670;134;571;97
Virginie;Pacocha;Alysson Loop 34;4705;Reichertcester;2006-03-21;jerel_heaney55@gmail.com;Breana.Denesik82;2014-02-20;PC;Counter Strike: Global Offensive;535;429;467;84
Chaz;Wiza;Kerluke Isle 10;5213;Runtemouth;1973-08-07;melvin.lowe34@yahoo.com;Hudson.Wehner9;2017-08-28;Xbox One;Hearthstone;681;596;745;75
Brent;Lebsack;Hayes Wells 46;5789;Abbigailfurt;1995-11-30;alexis.mueller@yahoo.com;Bonnie29;2015-07-08;PC;Fortnite;204;845;744;17
Winston;Senger;Shany Camp 90;6376;Vista;1948-12-29;rebekah.frami@hotmail.com;Mckayla95;2023-01-12;Playstation 4;Rainbow Six Siege;810;26;750;43
Megane;Gutkowski;Kling Villages 99;7613;Fort Winifred;1981-02-08;nia_leffler@hotmail.com;Easter.Parisian;2015-06-11;Playstation 4;Heroes of the Storm;135;132;266;14
Luciano;Hagenes;Stamm Orchard 33;2633;Stokesport;1950-12-20;miller_dooley56@gmail.com;Alessandro20;2014-08-26;Nintendo Switch;PlayerUnknown's Battlegrounds;685;831;531;67
Derek;Lebsack;Strosin Trail 86;9576;Port Damien;1975-09-12;donnell87@hotmail.com;Lydia58;2014-08-06;Nintendo Switch;Grand Theft Auto V;360;947;77;67
Alta;Wyman;Bernita Bridge 61;7984;Fort Elsieport;1995-03-21;margarete87@gmail.com;Ignatius8;2022-12-01;PC;Rainbow Six Siege;260;633;374;15
Lacey;Funk;Brendon Forks 56;6779;Loniefurt;2004-03-07;jazmin.zemlak38@hotmail.com;Dawson.Schuppe;2016-11-10;Xbox Series X;Heroes of the Storm;132;377;730;16
Delia;Kshlerin;Hauck Junctions 62;1528;Cristhaven;1981-12-20;ila_terry@hotmail.com;Retta_Stanton73;2014-03-19;Xbox One;Destiny 2;557;788;397;21
Lloyd;Bergnaum;Hickle Mall 98;8649;New Nicoletteland;1976-06-01;rowena17@hotmail.com;Rogers.Stamm;2019-05-18;Playstation 4;Diablo III;704;800;913;23
Makenzie;Olson;Vincent Wells 22;3720;Kayleyburgh;1949-08-06;shanon9@gmail.com;Nora5;2018-07-18;Playstation 4;Counter Strike: Global Offensive;749;643;456;92
Rachael;Grant;Altenwerth Terrace 95;1721;Hahnmouth;1985-06-08;duncan.shields0@yahoo.com;Estell49;2015-10-24;Nintendo Switch;Path of Exile;664;342;932;73
Clotilde;Douglas;Champlin Port 43;6206;North Highlands;1955-09-07;kailee.ruecker94@yahoo.com;Dustin.Jones;2015-03-10;Xbox One;Destiny 2;795;292;208;83
Henderson;Purdy;Hahn Causeway 84;9316;Kundestad;1982-05-10;jordane_medhurst67@yahoo.com;Alberto81;2015-08-26;PC;Dota 2;113;508;667;22
Jody;Daugherty;Waters Road 40;1853;Alyciaport;1981-02-11;zola.spencer@hotmail.com;Watson.Reynolds;2019-08-14;Playstation 5;Smite;334;548;224;46
Jennifer;Simonis;Johnson Freeway 87;5341;East Sigurd;1952-11-10;ulices.okon@hotmail.com;Jaylen56;2023-06-09;Nintendo Switch;Madden NFL 20;399;440;416;100
Catalina;Jaskolski;Kiehn Forges 90;4764;Port Henriette;1986-06-15;braulio.hackett11@gmail.com;Kole.Schmeler94;2018-12-27;Playstation 4;Diablo III;856;512;442;98
Rodolfo;Rath;Luettgen Inlet 19;6590;Codyboro;1948-02-17;lela.weissnat@gmail.com;Lora56;2014-02-20;Nintendo Switch;PlayerUnknown's Battlegrounds;680;948;569;40
Rossie;O'Connell;Gracie Fort 27;3677;West Guido;1983-06-21;idell_hilll@gmail.com;Kristopher_Maggio;2016-01-04;Xbox Series X;League of Legends;261;900;859;46
Shyann;Grady;Aimee Bypass 82;6013;Fall River;1966-10-02;salma.conn@yahoo.com;Colleen.Braun19;2019-05-12;Playstation 4;Smite;864;996;325;36
Joey;Reichert;Bernhard Skyway 39;9296;Berenicefield;1987-02-16;hilda.nolan@yahoo.com;Alvis_Kub92;2019-09-11;Xbox One;Fortnite;639;637;142;54
Ola;Ryan;Corkery River 69;9016;Fayland;1951-05-25;eleanore_emard-robel60@gmail.com;Willa.Lubowitz44;2021-01-19;Nintendo Switch;Dota 2;230;85;831;36
Alphonso;Schmeler;Pouros Alley 56;5796;South Oliver;1975-11-21;john_moore54@gmail.com;Buster50;2022-05-20;Xbox One;Smite;800;355;806;37
Rusty;Fadel;Leopold Square 79;8774;Harlingen;1997-04-11;tatyana60@gmail.com;Dawn5;2015-09-14;PC;Counter Strike: Global Offensive;160;862;463;76
Ezequiel;Welch;Pagac Valley 95;9433;Port Maeganfield;1970-06-22;ethyl83@gmail.com;Angus_Lind;2023-02-24;Nintendo Switch;Counter Strike: Global Offensive;957;175;420;28
Isom;Schulist;Adrian Spurs 71;5375;Carmel;1976-06-28;grayce_kerluke53@yahoo.com;Kristian33;2016-03-26;Xbox One;NBA 2K20;313;616;455;93
Tod;Greenholt;Eldridge Walks 34;3109;West Clare;1964-12-10;antwan_lesch@hotmail.com;Constantin_Beatty;2016-11-15;Xbox Series X;NBA 2K20;305;231;986;65
Suzanne;Bode;Daryl Viaduct 77;9485;South Karastead;1977-10-28;krista_oconner20@hotmail.com;Yazmin_Bechtelar;2016-06-01;Xbox One;Starcraft II;788;444;592;22
Oren;Walsh;Roberta Ports 33;6714;West Hallie;1963-06-30;merl29@yahoo.com;Jacky22;2015-11-06;PC;Minecraft;572;896;574;46
Camylle;Schroeder;Emard Estates 77;9474;Swiftville;1986-03-11;david22@hotmail.com;Lyda_Balistreri8;2021-03-09;Playstation 5;Teamfight Tactics;535;285;726;97
Natasha;Gusikowski;Nels Station 46;3074;Bellingham;1965-04-18;kitty_kshlerin6@gmail.com;Vivien_Prosacco96;2017-11-20;Xbox One;Apex Legends;462;828;432;46
Arely;Buckridge;Destiney Throughway 68;2676;Fort Adelle;1956-02-21;ophelia_thiel32@gmail.com;Carmel51;2020-06-03;Nintendo Switch;Destiny 2;955;150;216;4
Lenore;Kihn;Carol Mountains 36;2048;Loveland;1948-09-02;mikayla.ortiz@yahoo.com;Nat_Cartwright38;2020-06-01;Playstation 5;Counter Strike: Global Offensive;126;592;26;49
Ethan;Spencer;Mason Burg 22;5236;Long Beach;1992-06-18;roger_kovacek37@gmail.com;Kailee_Larkin;2023-01-25;Playstation 4;Rocket League;117;361;899;76
Isac;Emard;Yost Passage 51;9387;Port Danikafort;1972-11-14;cesar.stark16@gmail.com;Ronaldo_Sawayn;2014-04-24;Xbox Series X;Rocket League;575;393;444;87
Margarett;Schaefer;Donnelly Plaza 27;3272;Hansenside;1957-06-13;raheem.king93@gmail.com;Gerhard35;2017-12-11;Xbox Series X;Overwatch;454;127;309;24
Furman;Hegmann;Conroy Burg 67;2468;Fort Cassidyton;1963-02-22;kiarra.berge@hotmail.com;Eleanore.Reynolds-Nienow;2013-07-05;Nintendo Switch;Smite;671;844;149;32
Anastacio;Sipes;Travon Lane 85;9789;Pasco;2000-05-15;elyse3@gmail.com;Alexys.Littel34;2019-04-20;Nintendo Switch;NBA 2K20;961;328;261;23
Letitia;Graham;Jovanny Fort 62;4085;Palm Desert;1989-02-01;chanelle_gutmann21@hotmail.com;Jarod_Crona;2013-08-19;Xbox One;Fortnite;270;567;112;24
Vita;Hessel;Chet Roads 95;1208;West Miller;2001-03-06;jettie.collier38@yahoo.com;Flavio_Gleichner;2015-03-10;Xbox One;Rainbow Six Siege;963;27;724;23
Ada;Ullrich;Victor Crescent 10;7410;New Carmelostead;2003-10-22;celia_krajcik@gmail.com;Adelle29;2014-03-10;Xbox One;World of Warcraft;485;343;281;27
Eula;Reilly;Dell Way 45;9763;Columbus;1959-03-01;rhianna_dach-robel@yahoo.com;Heber47;2014-02-28;Xbox Series X;League of Legends;784;637;591;89
Karine;Jacobs;Hyman Pines 34;4245;Mayerthaven;1977-12-23;jovan72@yahoo.com;Kennedi82;2017-09-11;Nintendo Switch;Path of Exile;748;120;297;45
Beulah;Thompson;Alec Gateway 62;3543;Runtestead;1966-04-29;adolphus.koepp8@gmail.com;Troy.Jenkins;2023-05-05;Xbox Series X;Call of Duty: Warzone;178;694;308;83
Emory;Kris;Dooley River 20;2941;Jennyfercester;1982-10-09;enid.towne@gmail.com;Damien86;2021-02-22;PC;World of Warships;658;464;233;89
Pascale;Upton;Hyatt Ramp 68;3081;Kayceeberg;1990-03-14;izaiah_mante@yahoo.com;Samir.Cronin;2018-12-10;PC;Minecraft;908;64;502;61
Leann;Hammes;Jakubowski Trafficway 59;2290;Gretatown;1997-02-16;aglae_bailey27@hotmail.com;Coralie21;2023-06-06;Playstation 4;Overwatch;301;18;941;54
Cassidy;Gibson;Kitty Tunnel 29;4578;Shawnatown;1977-05-26;quinn.moore91@gmail.com;Dedric74;2016-11-22;Nintendo Switch;Fortnite;421;925;47;90
Kayla;Pacocha;Kautzer Shores 77;5339;Deloresport;1975-10-17;howard34@yahoo.com;Cassandre_Murphy5;2020-05-31;Xbox Series X;Grand Theft Auto V;579;958;246;28
Tyra;Bradtke;Kunde Spur 35;9407;Tessview;1956-11-03;julius75@hotmail.com;Federico_Weissnat;2016-01-20;Playstation 4;Path of Exile;804;826;962;98
Kathryn;Bayer-Purdy;Larissa Tunnel 66;2536;Melissafurt;2002-07-25;jerad_walsh0@hotmail.com;Jalyn30;2019-05-29;Xbox Series X;Madden NFL 20;207;255;689;54
Hulda;Jerde;Hackett Pass 98;6504;Anchorage;1984-07-17;otho.schmidt81@gmail.com;Ofelia.Ritchie55;2020-08-16;Playstation 5;Destiny 2;878;316;895;6
Laisha;Nitzsche;Wuckert Forges 6;3908;Port Mireya;2004-04-15;reece_ledner@yahoo.com;Amelia.Monahan75;2019-05-01;PC;Hearthstone;567;923;373;63
Tom;Bogisich;Bernita Centers 55;4383;Lexington-Fayette;2004-10-14;donato_heidenreich@gmail.com;Jovany80;2022-01-15;Xbox Series X;Destiny 2;924;457;328;60
Buddy;Beahan;Ernser Way 76;4286;Miltonfurt;1973-11-21;rodrick_mosciski@hotmail.com;Dwight_Haley43;2022-02-28;PC;Heroes of the Storm;659;515;474;30
Esta;Champlin;Elissa Greens 85;9370;New Shane;1964-05-03;serena84@gmail.com;Hillary30;2014-03-23;Xbox One;Rainbow Six Siege;636;12;446;70
Dameon;Grant;Germaine Lake 87;5808;South Eldred;2005-01-24;cheyenne_reilly@yahoo.com;Wilburn20;2021-04-10;Xbox One;World of Warships;926;545;841;8
Aaliyah;Smitham;Aiyana Haven 20;6603;Lake Edythfort;1959-04-02;pietro.ryan37@gmail.com;Bettye_Grant93;2019-12-09;Xbox One;Rainbow Six Siege;900;917;881;64
Ashleigh;Dach;Nia Hollow 50;6984;Maryseport;1979-09-03;marcella58@gmail.com;Brant81;2019-12-12;Nintendo Switch;Path of Exile;767;483;794;88
Brandi;Gorczany;Altenwerth Bridge 79;4129;North Elodychester;2006-06-10;zackery_reilly78@yahoo.com;Carmine_Powlowski;2022-12-02;Playstation 5;World of Warcraft;990;686;52;45
Mona;Heaney;Crist Glen 92;5796;Glenview;1989-09-20;justen.bechtelar@gmail.com;Branson_Kris37;2015-11-21;Nintendo Switch;Minecraft;702;649;546;71
Jaylin;Little;Stevie Bridge 2;6836;Tracefield;1965-08-23;shania46@hotmail.com;Lempi21;2018-12-25;Playstation 4;Rocket League;146;62;77;2
Donavon;Rutherford;Heller Summit 50;4448;Hegmannburgh;1960-01-03;camila28@hotmail.com;Anastacio_Boyle25;2019-02-02;Playstation 4;Rainbow Six Siege;898;849;374;88
Dewayne;Johns;Cremin Via 13;8148;Cummingsville;2007-02-01;brown82@gmail.com;Margarette24;2014-02-14;Xbox Series X;Rocket League;429;988;476;16
Marianne;Rolfson-Goodwin;Angelita Estate 23;4025;Davinhaven;2003-12-23;maximillia.nikolaus95@hotmail.com;Bethany64;2015-04-26;Playstation 5;Apex Legends;519;650;105;57
Deion;Botsford;Yundt Fall 59;6234;South Tom;1959-08-27;leone_koelpin13@hotmail.com;Rosendo12;2019-12-28;PC;Counter Strike: Global Offensive;323;977;498;61
Terry;Wilkinson;Fern Rapid 3;2894;Ellicott City;1973-12-28;glenda_spinka48@hotmail.com;Garfield_Fadel;2019-11-23;Xbox Series X;Dota 2;555;664;689;98
